Gene	Sample	Active	FC	Annotation	Conservation	Tun
bHd00680.2	Hdujardini	0.0480171666666667	35.6354161623145	Other	Conserved	5.27465333333333
bHd00687.1	Hdujardini	0	27.9679666666667	Other	Conserved	2.79679666666667
bHd00687.2	Hdujardini	0.370038966666667	28.3763707817416	Other	Conserved	13.338
bHd00707.1	Hdujardini	0	253.449	Other	Conserved	25.3449
bHd00717.1	Hdujardini	0.113919	29.3166884038663	Other	Conserved	6.27139666666667
bHd00727.1	Hdujardini	0.182183666666667	243.899304353784	Other	Conserved	68.8244
bHd00742.1	Hdujardini	9.69942	29.3491179409938	Other	Conserved	287.604333333333
bHd00743.1	Hdujardini	0	34.2255666666667	Other	Conserved	3.42255666666667
bHd00745.1	Hdujardini	2.81703833333333	65.6668321693864	Other	Conserved	191.552666666667
bHd00746.1	Hdujardini	1.804892	12.5161741453059	Other	Conserved	23.84196
bHd00748.1	Hdujardini	0.335462333333333	9.55800999244481	Other	Conserved	4.16215333333333
bHd00755.1	Hdujardini	0.768151333333333	28.9457214448787	Other	None	25.1292666666667
bHd00775.1	Hdujardini	0	77.0620733333333	Other	Conserved	7.70620733333333
bHd00810.1	Hdujardini	0.0368716666666667	99.2082607795624	Other	None	13.5788
bHd00811.1	Hdujardini	0.203604	38.4014264195026	Other	None	11.6588266666667
bHd00812.1	Hdujardini	0.377616666666667	41.2085703318561	Other	None	19.6819
bHd00822.1	Hdujardini	1.24441833333333	85.286375396547	Other	Conserved	114.660566666667
bHd00843.1	Hdujardini	0	47.10894	Other	Conserved	4.710894
bHd00862.1	Hdujardini	1.61563033333333	38.0524670135816	Other	Conserved	65.2839666666667
bHd00870.1	Hdujardini	3.61742	9.95921006145839	Other	Conserved	37.0225666666667
bHd00879.1	Hdujardini	0.166514666666667	158.953853696607	Other	Conserved	42.3635333333333
bHd00885.1	Hdujardini	0.0880236666666667	106.815985930849	Other	Conserved	20.0839333333333
bHd00905.1	Hdujardini	0	248.6685	Other	None	24.86685
bHd00906.1	Hdujardini	2.30831666666667	11.279552107627	Other	None	27.1647333333333
bHd00949.1	Hdujardini	10.644584	69.4065338717007	Other	Conserved	745.744333333333
bHd00960.1	Hdujardini	0	48.4454333333333	Other	Conserved	4.84454333333333
bHd00961.1	Hdujardini	0	1128.10466666667	Other	None	112.810466666667
bHd00963.1	Hdujardini	4.93093666666667	523.247162059285	Other	Conserved	2632.42333333333
bHd00974.1	Hdujardini	0.741254666666667	89.5300828445132	Other	Conserved	75.3176
bHd01070.1	Hdujardini	2.61346333333333	5.80787898368506	Other	Conserved	15.7594666666667
bHd01101.1	Hdujardini	0.0669206666666667	12.1312120328619	Other	Conserved	2.02495
bHd01113.1	Hdujardini	2.69096333333333	12.1170706888541	Other	Conserved	33.8183
bHd01119.1	Hdujardini	2.129816	30.5764541409097	Other	Conserved	68.1798666666667
bHd01161.1	Hdujardini	0	38.4977666666667	Other	Conserved	3.84977666666667
bHd01173.1	Hdujardini	0	34.9330666666667	Other	None	3.49330666666667
bHd01181.1	Hdujardini	166.216903333333	10.2046753275489	Other	Conserved	1697.21
bHd01198.1	Hdujardini	0.240875333333333	43.4949727466346	Other	Conserved	14.8263633333333
bHd01274.1	Hdujardini	0.235371666666667	154.069465220179	Other	Conserved	51.6705333333333
bHd01275.1	Hdujardini	13.1567633333333	22.3546521787998	Other	Conserved	296.350333333333
bHd01282.1	Hdujardini	5.20997	45.204398518259	Other	None	240.034
bHd01284.1	Hdujardini	10.74098	21.5204099014419	Other	None	233.302333333333
bHd01285.1	Hdujardini	14.3166666666667	6.53742427745665	Other	Conserved	94.2478666666667
bHd01287.1	Hdujardini	82.2081	3.5596334585134	Other	Conserved	292.986666666667
bHd01304.1	Hdujardini	0.132943	19.5641566105585	Other	Conserved	4.55733333333333
bHd01315.1	Hdujardini	0.102376333333333	62.0074152280652	Other	Conserved	12.5488333333333
bHd01368.1	Hdujardini	0.288332333333333	78.3438927310543	Other	Conserved	30.4234666666667
bHd01369.1	Hdujardini	0	102.155166666667	Other	Conserved	10.2155166666667
bHd01372.1	Hdujardini	0.441679666666667	9.43312745109502	Other	None	5.10973333333333
